hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,0,15,2015,July,27,2,1,3,Online TA,ESP,98,John_Smith@xfinity.com
Resort Hotel,0,36,2015,July,27,2,1,3,Online TA,PRT,108.8,JBarton@hotmail.com
Resort Hotel,1,43,2015,July,27,2,1,3,Online TA,PRT,108.8,Richard.Holt@hotmail.com
Resort Hotel,0,70,2015,July,27,2,2,3,Direct,ROU,137,Amy.Green56@gmail.com
Resort Hotel,1,45,2015,July,27,2,2,3,Online TA,PRT,117.81,Perez.Kimberly84@hotmail.com
Resort Hotel,0,45,2015,July,27,2,2,3,Offline TA/TO,IRL,79.5,CArmstrong@mail.com
Resort Hotel,0,16,2015,July,27,2,2,3,Direct,ESP,123,ScottHammond41@verizon.com
Resort Hotel,0,70,2015,July,27,2,2,3,Direct,ROU,137,Debra.Fuller@protonmail.com
Resort Hotel,0,107,2015,July,27,2,2,5,Online TA,PRT,110.7,RachelDavis@mail.com
Resort Hotel,1,47,2015,July,27,2,2,5,Online TA,PRT,153,Mccormick.Michael19@aol.com
Resort Hotel,0,96,2015,July,27,2,2,5,Offline TA/TO,ESP,58.95,AnnSullivan@att.com
Resort Hotel,0,113,2015,July,27,2,2,5,Offline TA/TO,NOR,82.88,Rachel_W79@xfinity.com
Resort Hotel,0,90,2015,July,27,2,2,5,Offline TA/TO,GBR,82.35,Carla_Ferguson@att.com
Resort Hotel,0,50,2015,July,27,2,2,5,Online TA,IRL,119.35,Hardin_Greg@gmail.com
Resort Hotel,0,113,2015,July,27,2,2,5,Offline TA/TO,NOR,67.58,Ho_Rachel74@aol.com
Resort Hotel,0,93,2015,July,27,2,3,8,Offline TA/TO,IRL,56.01,Joseph_Elizabeth@yandex.com
Resort Hotel,0,76,2015,July,27,2,4,10,Offline TA/TO,OMN,110.7,Stephen.Brown@att.com
Resort Hotel,0,3,2015,July,27,2,0,1,Online TA,ESP,88.2,Scott_Ward11@hotmail.com
Resort Hotel,0,1,2015,July,27,2,0,1,Online TA,ARG,147,Derrick_Bailey@protonmail.com
Resort Hotel,0,1,2015,July,27,2,0,1,Direct,ESP,107,Jessica_Cole@yahoo.com
Resort Hotel,0,0,2015,July,27,2,0,1,Direct,PRT,147,Russo.Reginald65@comcast.net
Resort Hotel,0,0,2015,July,27,2,0,1,Online TA,PRT,117.9,William.Sanchez@mail.com
Resort Hotel,0,0,2015,July,27,2,0,1,Direct,PRT,123,Diane.Rose@protonmail.com
Resort Hotel,0,14,2015,July,27,2,0,2,Online TA,USA,98,Nathan_Smith@comcast.net
Resort Hotel,0,10,2015,July,27,2,0,2,Online TA,PRT,117.81,AndrewBullock17@hotmail.com
Resort Hotel,0,5,2015,July,27,2,0,2,Online TA,IRL,135,Nancy.M@protonmail.com
Resort Hotel,0,17,2015,July,27,2,0,3,Direct,ESP,133,Barbara.Cole@hotmail.com
Resort Hotel,0,93,2015,July,27,2,0,3,Offline TA/TO,IRL,58.95,Aguilar.Sheri22@att.com
Resort Hotel,1,3,2015,July,27,2,0,3,Online TA,PRT,136.33,Sandra_Graham@xfinity.com
Resort Hotel,0,10,2015,July,27,3,0,2,Online TA,USA,153,Cabrera.Christopher@yahoo.com
Resort Hotel,0,3,2015,July,27,3,0,2,Online TA,ESP,110.5,Flores_Melinda@yahoo.com
Resort Hotel,0,51,2015,July,27,3,0,2,Online TA,POL,97,Michael.W@mail.com
Resort Hotel,1,71,2015,July,27,3,0,2,Offline TA/TO,PRT,110.3,Brent.Hamilton15@gmail.com
Resort Hotel,1,63,2015,July,27,3,0,2,Online TA,PRT,82,JBradford@outlook.com
Resort Hotel,1,62,2015,July,27,3,0,2,Online TA,PRT,97,MarissaRobinson@mail.com
Resort Hotel,1,101,2015,July,27,3,0,2,Online TA,PRT,73.8,Jennifer_Curry@hotmail.com
Resort Hotel,0,2,2015,July,27,3,0,2,Offline TA/TO,PRT,91.5,Maldonado_Teresa95@protonmail.com
Resort Hotel,0,15,2015,July,27,3,0,2,Online TA,ESP,114.5,BryanPerez@gmail.com
Resort Hotel,1,51,2015,July,27,3,0,2,Online TA,PRT,110.3,Timothy.H@yandex.com
Resort Hotel,0,3,2015,July,27,3,1,2,Online TA,ESP,90.9,Angela.Williams@xfinity.com
Resort Hotel,1,48,2015,July,27,3,1,2,Online TA,PRT,123,LMD@yahoo.com
Resort Hotel,0,2,2015,July,27,3,2,2,Online TA,PRT,122,AHoffman@protonmail.com
Resort Hotel,0,72,2015,July,27,3,2,2,Offline TA/TO,DEU,110.7,Michael_Yu59@comcast.net
Resort Hotel,0,81,2015,July,27,3,2,6,Offline TA/TO,PRT,85.86,Anthony_Moss18@yandex.com
Resort Hotel,0,99,2015,July,27,3,2,7,Offline TA/TO,FRA,58.95,Tony_O@outlook.com
Resort Hotel,1,368,2015,July,27,3,3,7,Offline TA/TO,PRT,55.68,Clayton.Cowan31@protonmail.com
Resort Hotel,0,364,2015,July,27,3,3,7,Offline TA/TO,GBR,55.68,DDS_Mrs.@att.com
Resort Hotel,1,81,2015,July,27,3,3,7,Direct,PRT,124,Young.Raymond92@verizon.com
Resort Hotel,0,99,2015,July,27,3,3,7,Offline TA/TO,GBR,111.15,Schroeder.Lisa@comcast.net
Resort Hotel,0,324,2015,July,27,3,4,10,Offline TA/TO,GBR,134.73,Kristin_Roberts56@protonmail.com
Resort Hotel,0,69,2015,July,27,3,4,10,Online TA,GBR,92.45,Howard_W@outlook.com
Resort Hotel,1,79,2015,July,27,3,6,15,Offline TA/TO,PRT,108.73,Murphy.Jennifer59@yandex.com
Resort Hotel,0,12,2015,July,27,3,0,1,Online TA,GBR,73.8,JoshuaDelacruz@outlook.com
Resort Hotel,0,9,2015,July,27,3,0,1,Online TA,PRT,98,Colleen.Murphy@mail.com
Resort Hotel,0,1,2015,July,27,3,0,1,Online TA,ESP,131,RHebert34@zoho.com
Resort Hotel,0,21,2015,July,27,3,0,1,Online TA,PRT,123,RCampbell@verizon.com
Resort Hotel,0,9,2015,July,27,3,0,1,Online TA,USA,94.71,Lang_Matthew34@hotmail.com
Resort Hotel,0,109,2015,July,27,3,0,1,Online TA,BEL,123,David_M@aol.com
Resort Hotel,1,109,2015,July,27,3,0,2,Online TA,PRT,123,JillKey89@att.com
Resort Hotel,1,72,2015,July,27,3,0,2,Online TA,PRT,73.8,NicoleCampbell26@zoho.com
Resort Hotel,1,63,2015,July,27,3,2,5,Online TA,PRT,117,Hill.James@mail.com
Resort Hotel,0,63,2015,July,27,3,2,5,Offline TA/TO,ESP,196.54,Daniel_R@xfinity.com
Resort Hotel,0,101,2015,July,27,3,2,5,Online TA,PRT,99.3,Porter_Jacob@verizon.com
Resort Hotel,0,102,2015,July,27,3,2,5,Direct,DEU,90.95,Wilson_Susan@comcast.net
Resort Hotel,0,4,2015,July,27,4,2,1,Direct,ESP,92.67,Barbara.A87@outlook.com
Resort Hotel,0,98,2015,July,27,4,2,1,Offline TA/TO,FRA,71.55,NoahBowers@protonmail.com
Resort Hotel,0,92,2015,July,27,4,2,4,Offline TA/TO,FRA,96.49,Morales.Thomas@att.com
Resort Hotel,0,95,2015,July,27,4,2,4,Online TA,PRT,85.8,Christopher.Wilson@mail.com
Resort Hotel,0,102,2015,July,27,4,2,5,Online TA,PRT,96.3,Marcus.Mitchell40@hotmail.com
Resort Hotel,1,26,2015,July,27,4,2,5,Online TA,PRT,163,JBailey29@aol.com
Resort Hotel,1,73,2015,July,27,4,2,5,Direct,PRT,172,DWeaver@yandex.com
Resort Hotel,1,102,2015,July,27,4,2,5,Online TA,PRT,110.7,WilliamGordon@xfinity.com
Resort Hotel,0,115,2015,July,27,4,2,5,Offline TA/TO,PRT,58.95,NAcosta52@gmail.com
Resort Hotel,0,102,2015,July,27,4,2,5,Online TA,PRT,73.8,Angel_S@zoho.com
Resort Hotel,0,86,2015,July,27,4,2,5,Online TA,CHE,97,Rebecca.Brooks84@yahoo.com
Resort Hotel,0,78,2015,July,27,4,2,5,Online TA,PRT,139,John_R@gmail.com
Resort Hotel,0,52,2015,July,27,4,2,5,Online TA,GBR,67.24,JulieRivera@verizon.com
Resort Hotel,0,29,2015,July,27,4,2,6,Online TA,PRT,116.5,Watson.Roberto@xfinity.com
Resort Hotel,1,101,2015,July,27,4,2,6,Online TA,PRT,96.3,Joseph_Yu48@aol.com
Resort Hotel,0,109,2015,July,27,4,2,6,Online TA,PRT,123,Campbell_George@zoho.com
Resort Hotel,0,92,2015,July,27,4,4,6,Offline TA/TO,GBR,71.55,Edwin_Norton@aol.com
Resort Hotel,0,92,2015,July,27,4,4,6,Offline TA/TO,PRT,71.55,LeslieLewis@xfinity.com
Resort Hotel,0,79,2015,July,27,4,4,6,Direct,PRT,149,Adkins_Wendy86@gmail.com
Resort Hotel,0,2,2015,July,27,4,0,1,Online TA,PRT,163,Brenda.Rodgers@xfinity.com
Resort Hotel,0,30,2015,July,27,4,0,1,Offline TA/TO,PRT,79.5,MMD@hotmail.com
Resort Hotel,1,51,2015,July,27,4,0,1,Online TA,PRT,105,Todd.Cox97@verizon.com
Resort Hotel,1,36,2015,July,27,4,0,1,Direct,PRT,123,LindaAnderson@att.com
Resort Hotel,1,73,2015,July,27,4,0,1,Online TA,PRT,73.8,Nelson_Sharon70@xfinity.com
Resort Hotel,1,33,2015,July,27,4,0,1,Online TA,PRT,113,Mario_Bennett@hotmail.com
Resort Hotel,0,32,2015,July,27,4,0,1,Complementary,PRT,0,Kristin.Campos48@att.com
Resort Hotel,0,8,2015,July,27,4,0,1,Online TA,ESP,123,Kennedy.Tamara@comcast.net
Resort Hotel,0,100,2015,July,27,4,1,1,Online TA,FRA,73.8,Tiffany.Phillips@outlook.com
Resort Hotel,0,1,2015,July,27,4,1,1,Online TA,PRT,114.5,LarryVelasquez83@yahoo.com
Resort Hotel,0,100,2015,July,27,4,1,1,Online TA,FRA,73.8,Wolf.Troy22@gmail.com
Resort Hotel,0,100,2015,July,27,4,1,1,Online TA,FRA,73.8,Richard.J@att.com
Resort Hotel,0,9,2015,July,28,5,1,0,Online TA,ESP,88.2,Porter.Samantha@protonmail.com
Resort Hotel,1,5,2015,July,28,5,1,0,Online TA,PRT,97,Bass_Michael@att.com
Resort Hotel,0,0,2015,July,28,5,1,0,Online TA,ESP,85.1,Chavez_Glen@xfinity.com
Resort Hotel,0,9,2015,July,28,5,1,0,Online TA,DEU,89,Jones_Rebecca@comcast.net
Resort Hotel,0,2,2015,July,28,5,1,0,Online TA,PRT,80.1,Gallegos_Dr.61@xfinity.com
Resort Hotel,0,2,2015,July,28,5,1,0,Online TA,PRT,98,Veronica.A@comcast.net
Resort Hotel,0,9,2015,July,28,5,1,0,Online TA,DEU,101,Anderson_Mike50@mail.com
Resort Hotel,1,5,2015,July,28,5,1,0,Online TA,PRT,97,Foster.James@att.com
Resort Hotel,0,2,2015,July,28,5,1,0,Direct,PRT,167,Brian_Fisher86@comcast.net
Resort Hotel,0,44,2015,July,28,5,2,0,Online TA,PRT,225,Elizabeth.W17@zoho.com
Resort Hotel,0,80,2015,July,28,5,2,0,Online TA,FRA,97,Joshua.G42@gmail.com
Resort Hotel,0,97,2015,July,28,5,2,2,Online TA,ESP,87.3,Kevin.Lee17@verizon.com
Resort Hotel,0,109,2015,July,28,5,2,3,Offline TA/TO,CN,85.59,EricPugh@mail.com
Resort Hotel,0,30,2015,July,28,5,2,3,Online TA,ESP,123,KKent@comcast.net
Resort Hotel,0,64,2015,July,28,5,2,3,Online TA,PRT,107,Hall_Ashley@zoho.com
Resort Hotel,0,39,2015,July,28,5,2,4,Online TA,ESP,163,RBailey@comcast.net
Resort Hotel,0,90,2015,July,28,5,2,4,Online TA,PRT,82,West_Pamela@zoho.com
Resort Hotel,1,34,2015,July,28,5,2,4,Online TA,PRT,163,PatrickCurry89@att.com
Resort Hotel,1,93,2015,July,28,5,2,5,Offline TA/TO,PRT,105.5,Stacey.C@yandex.com
Resort Hotel,0,97,2015,July,28,5,2,5,Direct,PRT,164.2,Patricia_S@xfinity.com
Resort Hotel,0,29,2015,July,28,5,2,5,Online TA,IRL,97.29,Anderson_John67@yandex.com
Resort Hotel,1,101,2015,July,28,5,2,5,Online TA,PRT,114,Dawn.A68@protonmail.com
Resort Hotel,0,27,2015,July,28,5,2,5,Offline TA/TO,ESP,98.4,Molly.Mclaughlin23@xfinity.com
Resort Hotel,0,8,2015,July,28,5,4,5,Online TA,CHE,175,Amanda_Fox@verizon.com
Resort Hotel,0,82,2015,July,28,5,4,6,Offline TA/TO,PRT,63.6,Rose_G65@outlook.com
Resort Hotel,0,94,2015,July,28,5,4,6,Direct,PRT,124.45,Bass_Alexander65@zoho.com
Resort Hotel,0,110,2015,July,28,5,4,7,Offline TA/TO,GBR,110.7,LeslieWilson@comcast.net
Resort Hotel,0,96,2015,July,28,5,4,10,Offline TA/TO,GBR,74.07,EPennington@protonmail.com
Resort Hotel,0,79,2015,July,28,5,4,10,Offline TA/TO,GBR,134.1,MaryMendez@protonmail.com
Resort Hotel,0,115,2015,July,28,6,1,4,Online TA,PRT,167,Rebecca.Price@zoho.com
Resort Hotel,0,111,2015,July,28,6,1,3,Online TA,PRT,123,DDDS@comcast.net
Resort Hotel,0,51,2015,July,28,6,1,3,Online TA,USA,117.81,Jennifer_Terry58@outlook.com
Resort Hotel,0,94,2015,July,28,6,1,3,Offline TA/TO,CN,171.32,Andrew.B@yahoo.com
Resort Hotel,0,81,2015,July,28,6,1,3,Direct,CHE,210,Day.Evelyn@outlook.com
Resort Hotel,0,84,2015,July,28,6,1,3,Online TA,PRT,97,Anderson_Natalie@gmail.com
Resort Hotel,0,51,2015,July,28,6,1,3,Online TA,USA,117.81,Morgan_Kathryn@mail.com
Resort Hotel,0,111,2015,July,28,6,0,0,Online TA,PRT,0,Stacy.Simmons@comcast.net
Resort Hotel,0,0,2015,July,28,6,0,0,Direct,PRT,0,Reyes.Rebecca@xfinity.com
Resort Hotel,0,2,2015,July,28,6,1,0,Direct,PRT,131,Tracey.Hebert39@xfinity.com
Resort Hotel,0,7,2015,July,28,6,1,1,Online TA,PRT,98,Jessica_C20@aol.com
Resort Hotel,0,98,2015,July,28,6,1,1,Online TA,USA,87.3,Stephanie.R@mail.com
Resort Hotel,0,95,2015,July,28,6,1,2,Online TA,GRC,97,Richard.Arias28@att.com
Resort Hotel,1,48,2015,July,28,6,1,3,Online TA,PRT,167,Barr.Courtney@mail.com
Resort Hotel,0,66,2015,July,28,6,1,3,Offline TA/TO,PRT,91.5,Justin.W@protonmail.com
Resort Hotel,0,104,2015,July,28,6,1,3,Online TA,PRT,73.8,Audrey.Garcia66@verizon.com
Resort Hotel,0,28,2015,July,28,6,1,4,Online TA,PRT,123,GeorgeMcgee@comcast.net
Resort Hotel,0,34,2015,July,28,6,1,4,Direct,PRT,175,Michelle.P@xfinity.com
Resort Hotel,0,98,2015,July,28,6,1,5,Online TA,ESP,117.8,Rogers.Kelly@gmail.com
Resort Hotel,0,104,2015,July,28,6,1,5,Online TA,PRT,117.63,Kelly_D@aol.com
Resort Hotel,0,68,2015,July,28,6,2,5,Online TA,PRT,185,CWilson@yandex.com
Resort Hotel,1,86,2015,July,28,6,2,5,Offline TA/TO,PRT,71,Nicolas_A@outlook.com
Resort Hotel,0,258,2015,July,28,6,2,5,Offline TA/TO,GBR,47.25,Mckinney.Jane@comcast.net
Resort Hotel,0,111,2015,July,28,6,3,5,Online TA,PRT,151,Derrick_W94@outlook.com
Resort Hotel,1,94,2015,July,28,6,3,7,Online TA,PRT,87.3,MSchultz71@hotmail.com
Resort Hotel,0,112,2015,July,28,6,3,7,Offline TA/TO,GBR,120.6,Jesse.Wright@comcast.net
Resort Hotel,0,100,2015,July,28,6,3,7,Offline TA/TO,GBR,63.86,Paula_Howard@xfinity.com
Resort Hotel,0,33,2015,July,28,6,3,7,Direct,PRT,157.1,Norman.C23@hotmail.com
Resort Hotel,0,97,2015,July,28,6,3,7,Offline TA/TO,GBR,91.37,Sarah.C@comcast.net
Resort Hotel,0,80,2015,July,28,6,3,8,Direct,FRA,73,Robinson_Mary34@att.com
Resort Hotel,0,90,2015,July,28,6,4,10,Offline TA/TO,ITA,110.7,Sarah.W@protonmail.com
Resort Hotel,0,111,2015,July,28,6,4,10,Offline TA/TO,GBR,93.6,Jonathan.T@comcast.net
Resort Hotel,0,65,2015,July,28,6,2,5,Offline TA/TO,PRT,83.5,TammyDelgado@comcast.net
Resort Hotel,1,67,2015,July,28,7,0,2,Online TA,PRT,73.8,Frazier.Kimberly@yandex.com
Resort Hotel,0,55,2015,July,28,7,0,3,Online TA,ESP,82,VictoriaHerman@zoho.com
Resort Hotel,0,21,2015,July,28,7,0,3,Direct,PRT,185.5,Abigail_Bowers@yahoo.com
Resort Hotel,0,8,2015,July,28,7,0,0,Direct,PRT,0,VHoward23@gmail.com
Resort Hotel,0,8,2015,July,28,7,0,0,Online TA,PRT,0,Jenna_Harrington@protonmail.com
Resort Hotel,0,0,2015,July,28,7,0,1,Online TA,GBR,109.8,EHendrix@yandex.com
Resort Hotel,0,0,2015,July,28,7,0,1,Direct,PRT,195,Tate.Shannon54@yahoo.com
Resort Hotel,0,0,2015,July,28,7,0,1,Online TA,GBR,109.8,Christopher_J25@gmail.com
Resort Hotel,0,8,2015,July,28,7,0,4,Online TA,ESP,193,Jones.Virginia@zoho.com
Resort Hotel,0,66,2015,July,28,7,0,4,Online TA,PRT,97,Casey.Cobb89@outlook.com
Resort Hotel,0,88,2015,July,28,7,0,4,Offline TA/TO,USA,150,Timothy.K@xfinity.com
Resort Hotel,0,0,2015,July,28,7,0,4,Direct,NLD,98,DGilbert@xfinity.com
Resort Hotel,1,43,2015,July,28,7,0,5,Offline TA/TO,PRT,91.5,CAdams@outlook.com
Resort Hotel,1,88,2015,July,28,7,2,5,Online TA,PRT,139,Luis_Grant@aol.com
Resort Hotel,0,54,2015,July,28,7,2,5,Offline TA/TO,IRL,79.5,Kevin.B@gmail.com
Resort Hotel,1,292,2015,July,28,7,2,5,Offline TA/TO,PRT,47.25,RWolfe@yahoo.com
Resort Hotel,0,112,2015,July,28,7,4,10,Offline TA/TO,IRL,126.65,LLopez@verizon.com
Resort Hotel,0,68,2015,July,28,8,0,3,Online TA,GBR,107,RBaker@zoho.com
Resort Hotel,0,7,2015,July,28,8,0,4,Online TA,PRT,131,Malone.Brianna70@comcast.net
Resort Hotel,0,1,2015,July,28,8,0,4,Online TA,ESP,131,Paul_Wilson@gmail.com
Resort Hotel,1,113,2015,July,28,8,0,4,Online TA,PRT,123,DPeterson@xfinity.com
Resort Hotel,0,5,2015,July,28,8,0,4,Online TA,ESP,146,Greene_Brian@comcast.net
Resort Hotel,0,83,2015,July,28,8,0,4,Offline TA/TO,PRT,110.7,Seth_M@att.com
Resort Hotel,1,105,2015,July,28,8,0,4,Online TA,PRT,73.8,Wagner.Sarah@yandex.com
Resort Hotel,0,0,2015,July,28,8,0,1,Offline TA/TO,PRT,61,Rivas_Michael63@xfinity.com
Resort Hotel,1,1,2015,July,28,8,0,1,Corporate,PRT,104.72,AmandaMyers@att.com
Resort Hotel,1,1,2015,July,28,8,0,1,Corporate,PRT,104.72,JoshuaPatrick@xfinity.com
Resort Hotel,0,1,2015,July,28,8,0,2,Corporate,CHE,104.72,Mcknight.Martin17@comcast.net
Resort Hotel,1,102,2015,July,28,8,1,4,Direct,PRT,66.42,Robert_Wagner78@att.com
Resort Hotel,0,113,2015,July,28,8,2,4,Direct,PRT,77.96,Leah_Payne26@yahoo.com
Resort Hotel,1,280,2015,July,28,8,2,5,Offline TA/TO,PRT,112,VictoriaStewart31@yahoo.com
Resort Hotel,0,96,2015,July,28,8,2,5,Online TA,GBR,107,MWright51@aol.com
Resort Hotel,0,394,2015,July,28,8,2,5,Offline TA/TO,GBR,89.68,William.Duncan26@hotmail.com
Resort Hotel,0,33,2015,July,28,8,2,5,Online TA,PRT,155,Kelly_Jonathan@zoho.com
Resort Hotel,0,82,2015,July,28,8,2,6,Direct,IRL,112,EYoung@gmail.com
Resort Hotel,0,100,2015,July,28,8,2,7,Online TA,DNK,130.1,BSmith32@yandex.com
Resort Hotel,0,100,2015,July,28,8,2,7,Online TA,DNK,100.1,Jennifer.Oliver@outlook.com
Resort Hotel,0,17,2015,July,28,9,0,1,Online TA,PRT,123,Jennifer.Cunningham@comcast.net
Resort Hotel,0,68,2015,July,28,9,0,2,Direct,ARG,124,Judy.Lucero94@protonmail.com
Resort Hotel,0,12,2015,July,28,9,0,2,Direct,PRT,146,Mccoy_Stephanie@zoho.com
Resort Hotel,1,77,2015,July,28,9,0,3,Direct,PRT,97,AmyLee70@att.com
Resort Hotel,1,24,2015,July,28,9,0,3,Online TA,PRT,123,PDunn@aol.com
Resort Hotel,1,44,2015,July,28,9,0,3,Online TA,PRT,153,Joseph.N@yahoo.com
Resort Hotel,0,78,2015,July,28,9,0,3,Online TA,PRT,82,RobertGonzalez@hotmail.com
Resort Hotel,1,17,2015,July,28,9,1,3,Online TA,PRT,105.08,Castillo.Jenna@yahoo.com
Resort Hotel,1,103,2015,July,28,9,1,3,Online TA,PRT,65.42,Karen_H@protonmail.com
Resort Hotel,0,16,2015,July,28,9,1,3,Direct,RUS,98,Kristen.Williams@protonmail.com
Resort Hotel,0,14,2015,July,28,9,2,3,Online TA,SWE,75.46,Dickson_Bradley@yahoo.com
Resort Hotel,0,77,2015,July,28,9,2,3,Offline TA/TO,POL,65.5,RodneyFord39@mail.com
Resort Hotel,0,90,2015,July,28,9,2,5,Offline TA/TO,FRA,90.95,CGiles29@comcast.net
Resort Hotel,0,90,2015,July,28,9,2,5,Offline TA/TO,GBR,93.6,Tracy.Escobar85@gmail.com
Resort Hotel,0,90,2015,July,28,9,2,5,Offline TA/TO,GBR,119.25,TJohnson85@hotmail.com
Resort Hotel,0,366,2015,July,28,9,2,5,Offline TA/TO,GBR,134.73,MarkMD62@mail.com
Resort Hotel,0,249,2015,July,28,9,2,5,Online TA,PRT,112,BMartin@aol.com
Resort Hotel,1,69,2015,July,28,9,2,6,Online TA,PRT,118.13,Vargas.Victoria86@mail.com
Resort Hotel,0,10,2015,July,28,10,0,1,Direct,USA,131,Amanda_Johnson30@att.com
Resort Hotel,0,22,2015,July,28,10,0,2,Online TA,PRT,88.2,Kevin.Wu@xfinity.com
Resort Hotel,0,91,2015,July,28,10,0,2,Online TA,PRT,73.8,TJohnson28@mail.com
Resort Hotel,0,23,2015,July,28,10,0,2,Online TA,PRT,98,JSmith@gmail.com
Resort Hotel,0,11,2015,July,28,10,0,2,Online TA,PRT,110.5,Montgomery.Brianna@xfinity.com
Resort Hotel,0,3,2015,July,28,10,0,2,Online TA,PRT,131,MarieSullivan@yahoo.com
Resort Hotel,0,13,2015,July,28,10,0,2,Online TA,PRT,185,Aaron_Miller@hotmail.com
Resort Hotel,0,108,2015,July,28,10,0,2,Online TA,PRT,87.3,RMurphy52@yahoo.com
Resort Hotel,0,91,2015,July,28,10,0,2,Online TA,PRT,73.8,Catherine_DDS@comcast.net
Resort Hotel,0,37,2015,July,28,10,1,2,Online TA,GBR,120,Amy.Khan@zoho.com
Resort Hotel,0,21,2015,July,28,10,1,2,Direct,AUS,98,Joshua_Sullivan@comcast.net
Resort Hotel,0,106,2015,July,28,10,1,2,Online TA,GBR,96.3,Brooke.Mccarty@protonmail.com
Resort Hotel,0,30,2015,July,28,10,2,2,Direct,PRT,197,Herman.Kelsey34@mail.com
Resort Hotel,0,30,2015,July,28,10,2,2,Direct,PRT,197,DakotaPonce45@yandex.com
Resort Hotel,1,51,2015,July,28,10,2,3,Online TA,PRT,123,Frost.Dawn@verizon.com
Resort Hotel,0,79,2015,July,28,10,2,3,Online TA,POL,82,CMeadows@hotmail.com
